temp, avelx, avely, avelz
69.753571, -0.139130, 0.069565, 0.208696
-16.600000, -0.765217, 0.626087, 2.086957
-16.357143, -0.765217, 0.626087, 2.017391
-16.203571, -0.765217, 0.626087, 2.017391
-16.064286, -0.695652, 0.626087, 2.017391
-15.950000, -0.765217, 0.695652, 2.017391
-15.728571, -0.695652, 0.695652, 1.947826
-15.685714, -0.695652, 0.695652, 1.947826
-15.371429, -0.695652, 0.695652, 2.017391
-15.239286, -0.765217, 0.695652, 2.017391
-15.117857, -0.695652, 0.695652, 2.017391
-14.892857, -0.626087, 0.695652, 1.947826
-14.775000, -0.626087, 0.695652, 1.947826
-14.764286, -0.695652, 0.695652, 2.017391
-14.403571, -0.695652, 0.765217, 1.947826
-14.242857, -0.695652, 0.765217, 1.947826
-14.132143, -0.695652, 0.765217, 1.947826
-13.907143, -0.695652, 0.765217, 1.878261
-13.860714, -0.626087, 0.765217, 1.947826
-13.821429, -0.695652, 0.765217, 1.878261
-13.507143, -0.695652, 0.765217, 1.878261
-13.389286, -0.695652, 0.834783, 1.878261
-13.346429, -0.626087, 0.834783, 1.947826
-13.253571, -0.626087, 0.834783, 1.878261
-12.967857, -0.626087, 0.834783, 1.878261
-12.946429, -0.695652, 0.834783, 1.878261
-12.882143, -0.626087, 0.834783, 1.878261
-12.639286, -0.626087, 0.834783, 1.878261
-12.492857, -0.626087, 0.834783, 1.808696
-12.332143, -0.626087, 0.834783, 1.808696
-12.085714, -0.626087, 0.904348, 1.878261
-12.032143, -0.626087, 0.904348, 1.808696
-11.917857, -0.626087, 0.834783, 1.878261
-11.685714, -0.626087, 0.904348, 1.808696
-11.575000, -0.626087, 0.904348, 1.808696
-11.500000, -0.626087, 0.904348, 1.808696
-11.260714, -0.626087, 0.904348, 1.808696
-11.117857, -0.626087, 0.973913, 1.808696
-11.089286, -0.626087, 0.904348, 1.808696
-10.900000, -0.626087, 0.973913, 1.808696
-10.789286, -0.626087, 0.973913, 1.739130
-10.700000, -0.626087, 0.973913, 1.808696
-10.646429, -0.626087, 0.973913, 1.739130
-10.521429, -0.556522, 0.973913, 1.739130
-10.382143, -0.556522, 0.973913, 1.739130
-10.210714, -0.626087, 0.973913, 1.739130
-10.132143, -0.556522, 0.973913, 1.739130
-9.867857, -0.556522, 0.973913, 1.739130
-9.771429, -0.556522, 1.043478, 1.739130
-9.707143, -0.556522, 0.973913, 1.739130
-9.560714, -0.556522, 1.043478, 1.669565
-9.421429, -0.556522, 1.043478, 1.739130
-9.303571, -0.556522, 1.043478, 1.739130
-9.300000, -0.556522, 1.043478, 1.739130
-9.185714, -0.556522, 1.043478, 1.669565
-9.028571, -0.556522, 1.043478, 1.669565
-8.903571, -0.626087, 1.043478, 1.739130
-8.803571, -0.556522, 1.043478, 1.669565
-8.628571, -0.626087, 1.113043, 1.739130
-8.407143, -0.486957, 1.113043, 1.669565
-8.385714, -0.486957, 1.113043, 1.669565
-8.367857, -0.556522, 1.113043, 1.669565
-8.303571, -0.556522, 1.113043, 1.669565
-8.096429, -0.486957, 1.113043, 1.739130
-7.960714, -0.556522, 1.113043, 1.739130
-7.842857, -0.556522, 1.113043, 1.669565
-7.739286, -0.556522, 1.113043, 1.669565
-7.564286, -0.556522, 1.113043, 1.669565
-7.507143, -0.556522, 1.113043, 1.669565
-7.467857, -0.556522, 1.113043, 1.669565
-7.407143, -0.486957, 1.113043, 1.669565
-7.257143, -0.556522, 1.113043, 1.669565
-7.203571, -0.556522, 1.182609, 1.669565
-7.085714, -0.556522, 1.182609, 1.669565
-7.017857, -0.556522, 1.182609, 1.669565
-6.928571, -0.556522, 1.182609, 1.669565
-6.857143, -0.486957, 1.182609, 1.669565
-6.750000, -0.556522, 1.113043, 1.669565
-6.578571, -0.486957, 1.182609, 1.669565
-6.550000, -0.556522, 1.182609, 1.600000
-6.539286, -0.486957, 1.182609, 1.669565
-6.442857, -0.556522, 1.182609, 1.669565
-6.317857, -0.486957, 1.182609, 1.600000
-6.175000, -0.486957, 1.182609, 1.600000
-6.132143, -0.556522, 1.252174, 1.669565
-6.046429, -0.556522, 1.252174, 1.600000
-5.975000, -0.486957, 1.252174, 1.669565
-5.875000, -0.486957, 1.252174, 1.600000
-5.721429, -0.486957, 1.252174, 1.600000
-5.642857, -0.556522, 1.182609, 1.600000
-5.617857, -0.486957, 1.252174, 1.600000
-5.496429, -0.486957, 1.252174, 1.600000
-5.314286, -0.486957, 1.252174, 1.600000
-5.239286, -0.486957, 1.321739, 1.600000
-5.192857, -0.556522, 1.252174, 1.600000
-5.153571, -0.486957, 1.252174, 1.600000
-5.078571, -0.486957, 1.252174, 1.600000
-4.992857, -0.486957, 1.252174, 1.530435
-4.928571, -0.486957, 1.321739, 1.600000
-4.764286, -0.486957, 1.252174, 1.600000
-4.714286, -0.486957, 1.252174, 1.600000
-4.717857, -0.486957, 1.252174, 1.530435
-4.689286, -0.486957, 1.252174, 1.600000
-4.571429, -0.486957, 1.252174, 1.600000
-4.382143, -0.486957, 1.321739, 1.600000
-4.342857, -0.417391, 1.321739, 1.600000
-4.282143, -0.486957, 1.321739, 1.600000
-4.246429, -0.417391, 1.321739, 1.530435
-4.178571, -0.486957, 1.321739, 1.530435
